iter	Passed	Remaining
796	5826	1484
797	5833	1476
798	5841	1469
799	5849	1462
800	5856	1455
801	5864	1447
802	5873	1441
803	5882	1434
804	5891	1427
805	5900	1420
806	5909	1413
807	5918	1406
808	5926	1399
809	5934	1392
810	5943	1385
811	5951	1377
812	5960	1370
813	5968	1363
814	5977	1356
815	5985	1349
816	5993	1342
817	6001	1335
818	6009	1328
819	6017	1320
820	6025	1313
821	6032	1306
822	6039	1298
823	6046	1291
824	6053	1284
825	6061	1276
826	6068	1269
827	6075	1262
828	6083	1254
829	6090	1247
830	6097	1240
831	6105	1232
832	6112	1225
833	6119	1218
834	6126	1210
835	6134	1203
836	6142	1196
837	6149	1188
838	6157	1181
839	6164	1174
840	6171	1166
841	6178	1159
842	6185	1151
843	6193	1144
844	6199	1137
845	6206	1129
846	6213	1122
847	6220	1115
848	6227	1107
849	6234	1100
850	6241	1092
851	6248	1085
852	6255	1078
853	6262	1070
854	6269	1063
855	6276	1055
856	6284	1048
857	6292	1041
858	6299	1034
859	6307	1026
860	6315	1019
861	6322	1012
862	6329	1004
863	6337	997
864	6344	990
865	6351	982
866	6358	975
867	6365	968
868	6372	960
869	6380	953
870	6387	945
871	6394	938
872	6402	931
873	6409	923
874	6416	916
875	6423	909
876	6430	901
877	6437	894
878	6444	887
879	6451	879
880	6458	872
881	6465	864
882	6473	857
883	6480	850
884	6487	842
885	6494	835
886	6501	828
887	6508	820
888	6515	813
889	6523	806
890	6530	798
891	6537	791
892	6544	784
893	6552	776
894	6559	769
895	6566	762
896	6573	754
897	6581	747
898	6588	740
899	6595	732
900	6602	725
901	6610	718
902	6617	710
903	6624	703
904	6631	696
905	6638	688
906	6646	681
907	6653	674
908	6660	666
909	6668	659
910	6675	652
911	6682	644
912	6690	637
913	6697	630
914	6705	622
915	6712	615
916	6720	608
917	6727	600
918	6734	593
919	6742	586
920	6749	578
921	6756	571
922	6763	564
923	6771	556
924	6778	549
925	6786	542
926	6793	534
927	6800	527
928	6807	520
929	6815	512
930	6821	505
931	6829	498
932	6836	490
933	6844	483
934	6851	476
935	6859	469
936	6865	461
937	6872	454
938	6880	446
939	6887	439
940	6894	432
941	6901	424
942	6908	417
943	6916	410
944	6923	402
945	6930	395
946	6937	388
947	6945	380
948	6953	373
949	6961	366
950	6968	359
951	6976	351
952	6984	344
953	6992	337
954	7000	329
955	7008	322
956	7016	315
957	7024	307
958	7032	300
959	7039	293
960	7046	285
961	7054	278
962	7062	271
963	7070	264
964	7077	256
965	7085	249
966	7093	242
967	7101	234
968	7108	227
969	7116	220
970	7123	212
971	7131	205
972	7139	198
973	7146	190
974	7154	183
975	7161	176
976	7168	168
977	7175	161
978	7183	154
979	7190	146
980	7197	139
981	7205	132
982	7212	124
983	7219	117
984	7226	110
985	7234	102
986	7241	95
987	7249	88
988	7255	80
989	7262	73
990	7270	66
991	7277	58
992	7284	51
993	7291	44
994	7299	36
995	7306	29
996	7314	22
997	7322	14
998	7329	7
999	7336	0
